fecha,departamento,producto,id_producto,precio,unidad,cantidad
2025-11-29,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-01,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-02,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2025-12-03,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-04,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-05,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-06,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-08,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-09,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-10,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-11,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-12,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-13,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-15,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-16,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-17,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-18,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-19,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-20,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-22,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-23,Cochabamba,aceite de girasol,8,19.33,litro(s),900.0
2025-12-24,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-26,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-27,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-29,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-30,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2025-12-31,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-03,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-05,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-06,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-07,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-08,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-09,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-10,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-12,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-13,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-14,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-15,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-16,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-17,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-19,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-20,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-21,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-22,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-24,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-26,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2026-01-27,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2026-01-28,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-29,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-01-30,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-02-02,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-02-03,Cochabamba,aceite de girasol,8,20.0,litro(s),900.0
2026-02-04,Cochabamba,aceite de girasol,8,19.67,litro(s),900.0
2024-07-29,Cochabamba,arroz de primera,1,9.17,kilo(s),1.0
2024-07-30,Cochabamba,arroz de primera,1,8.94,kilo(s),1.0
2024-08-02,Cochabamba,arroz de primera,1,9.0,kilo(s),1.0
2024-08-05,Cochabamba,arroz de primera,1,9.05,kilo(s),1.0
2024-08-08,Cochabamba,arroz de primera,1,9.05,kilo(s),1.0
2024-08-12,Cochabamba,arroz de primera,1,9.35,kilo(s),1.0
2024-08-14,Cochabamba,arroz de primera,1,9.17,kilo(s),1.0
2024-08-16,Cochabamba,arroz de primera,1,9.29,kilo(s),1.0
2024-08-19,Cochabamba,arroz de primera,1,9.41,kilo(s),1.0
2024-08-23,Cochabamba,arroz de primera,1,9.76,kilo(s),1.0
2024-08-24,Cochabamba,arroz de primera,1,9.76,kilo(s),1.0
2024-08-26,Cochabamba,arroz de primera,1,9.68,kilo(s),1.0
2024-08-27,Cochabamba,arroz de primera,1,9.92,kilo(s),1.0
2024-08-28,Cochabamba,arroz de primera,1,9.88,kilo(s),1.0
2024-08-29,Cochabamba,arroz de primera,1,10.03,kilo(s),1.0
2024-08-30,Cochabamba,arroz de primera,1,9.99,kilo(s),1.0
2024-08-31,Cochabamba,arroz de primera,1,10.11,kilo(s),1.0
2024-09-02,Cochabamba,arroz de primera,1,10.03,kilo(s),1.0
2024-09-03,Cochabamba,arroz de primera,1,10.03,kilo(s),1.0
2024-09-04,Cochabamba,arroz de primera,1,10.07,kilo(s),1.0
2024-09-05,Cochabamba,arroz de primera,1,9.88,kilo(s),1.0
2024-09-06,Cochabamba,arroz de primera,1,9.92,kilo(s),1.0
2024-09-07,Cochabamba,arroz de primera,1,9.96,kilo(s),1.0
2024-09-09,Cochabamba,arroz de primera,1,10.19,kilo(s),1.0
2024-09-10,Cochabamba,arroz de primera,1,10.11,kilo(s),1.0
2024-09-11,Cochabamba,arroz de primera,1,10.35,kilo(s),1.0
2024-09-12,Cochabamba,arroz de primera,1,10.11,kilo(s),1.0
2024-09-13,Cochabamba,arroz de primera,1,10.11,kilo(s),1.0
2024-09-16,Cochabamba,arroz de primera,1,10.11,kilo(s),1.0
2024-09-17,Cochabamba,arroz de primera,1,10.27,kilo(s),1.0
2024-09-18,Cochabamba,arroz de primera,1,10.54,kilo(s),1.0
2024-09-19,Cochabamba,arroz de primera,1,10.66,kilo(s),1.0
2024-09-20,Cochabamba,arroz de primera,1,10.82,kilo(s),1.0
2024-09-21,Cochabamba,arroz de primera,1,11.05,kilo(s),1.0
2024-09-23,Cochabamba,arroz de primera,1,11.09,kilo(s),1.0
